close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
28.32,29.7,28.17,29.57,1350400.0,1.888,1.98,1.878,1.9713333333,20256000,0.0,1.0
28.69,29.375,28.0,28.4,1402700.0,1.9126666667,1.9583333333,1.8666666667,1.8933333333,21040500,0.0,1.0
28.41,28.64,28.02,28.49,838900.0,1.894,1.9093333333,1.868,1.8993333333,12583500,0.0,1.0
28.41,28.74,28.1,28.6,656400.0,1.894,1.916,1.8733333333,1.9066666667,9846000,0.0,1.0
28.52,28.84,28.2,28.61,539800.0,1.9013333333,1.9226666667,1.88,1.9073333333,8097000,0.0,1.0
28.14,28.99,27.9,28.52,752500.0,1.876,1.9326666667,1.86,1.9013333333,11287500,0.0,1.0
27.94,28.5,27.81,28.01,639300.0,1.8626666667,1.9,1.854,1.8673333333,9589500,0.0,1.0
28.55,28.9,27.9,28.0,841700.0,1.9033333333,1.9266666667,1.86,1.8666666667,12625500,0.0,1.0
29.35,29.57,28.5,28.55,953200.0,1.9566666667,1.9713333333,1.9,1.9033333333,14298000,0.0,1.0
27.37,29.35,27.295,29.2,1483300.0,1.8246666667,1.9566666667,1.8196666667,1.9466666667,22249500,0.0,1.0
27.8,28.16,27.4,27.76,1014900.0,1.8533333333,1.8773333333,1.8266666667,1.8506666667,15223500,0.0,1.0
28.28,28.58,27.8,27.9,1145200.0,1.8853333333,1.9053333333,1.8533333333,1.86,17178000,0.0,1.0
29.48,29.5,28.48,28.57,1484700.0,1.9653333333,1.9666666667,1.8986666667,1.9046666667,22270500,0.0,1.0
30.39,30.65,29.65,30.0,1536600.0,2.026,2.0433333333,1.9766666667,2.0,23049000,0.0,1.0
32.54,32.78,31.51,32.35,3212800.0,2.1693333333,2.1853333333,2.1006666667,2.1566666667,48192000,0.0,1.0
31.34,31.9,30.68,31.88,1788500.0,2.0893333333,2.1266666667,2.0453333333,2.1253333333,26827500,0.0,1.0
31.05,31.74,30.94,31.0,1048500.0,2.07,2.116,2.0626666667,2.0666666667,15727500,0.0,1.0
30.9,31.5,30.68,30.93,912400.0,2.06,2.1,2.0453333333,2.062,13686000,0.0,1.0
30.02,31.49,29.54,31.1,1870000.0,2.0013333333,2.0993333333,1.9693333333,2.0733333333,28050000,0.0,1.0
30.66,31.03,29.4,29.51,1301900.0,2.044,2.0686666667,1.96,1.9673333333,19528500,0.0,1.0
27.66,29.48,27.53,28.62,5680400.0,1.844,1.9653333333,1.8353333333,1.908,85206000,0.0,1.0
27.54,28.4,27.48,27.67,1527200.0,1.836,1.8933333333,1.832,1.8446666667,22908000,0.0,1.0
28.49,28.54,27.6,27.75,1758600.0,1.8993333333,1.9026666667,1.84,1.85,26379000,0.0,1.0
29.28,29.89,28.61,28.73,4343400.0,1.952,1.9926666667,1.9073333333,1.9153333333,65151000,0.0,1.0
29.16,29.89,29.0,29.5,884400.0,1.944,1.9926666667,1.9333333333,1.9666666667,13266000,0.0,1.0
29.8,29.89,29.0,29.28,729000.0,1.9866666667,1.9926666667,1.9333333333,1.952,10935000,0.0,1.0
29.3,29.95,29.2401,29.75,1052800.0,1.9533333333,1.9966666667,1.94934,1.9833333333,15792000,0.0,1.0
29.4,30.1,28.65,30.0,1541300.0,1.96,2.0066666667,1.91,2.0,23119500,0.0,1.0
28.89,29.81,28.68,29.7,938600.0,1.926,1.9873333333,1.912,1.98,14079000,0.0,1.0
29.25,29.4,28.611,28.86,889700.0,1.95,1.96,1.9074,1.924,13345500,0.0,1.0
28.37,29.12,28.25,29.12,1193000.0,1.8913333333,1.9413333333,1.8833333333,1.9413333333,17895000,0.0,1.0
28.4,28.72,28.01,28.39,503600.0,1.8933333333,1.9146666667,1.8673333333,1.8926666667,7554000,0.0,1.0
28.32,28.98,28.25,28.96,450600.0,1.888,1.932,1.8833333333,1.9306666667,6759000,0.0,1.0
27.64,28.73,27.5,28.32,987600.0,1.8426666667,1.9153333333,1.8333333333,1.888,14814000,0.0,1.0
27.33,28.05,26.86,28.0,1468700.0,1.822,1.87,1.7906666667,1.8666666667,22030500,0.0,1.0
28.06,28.09,27.34,27.67,479300.0,1.8706666667,1.8726666667,1.8226666667,1.8446666667,7189500,0.0,1.0
28.8191,28.84,27.8,28.25,668000.0,1.9212733333,1.9226666667,1.8533333333,1.8833333333,10020000,0.0,1.0
28.04,28.99,27.78,28.99,741000.0,1.8693333333,1.9326666667,1.852,1.9326666667,11115000,0.0,1.0
27.74,28.2,27.3,27.83,1027400.0,1.8493333333,1.88,1.82,1.8553333333,15411000,0.0,1.0
27.85,28.0,27.36,27.99,470200.0,1.8566666667,1.8666666667,1.824,1.866,7053000,0.0,1.0
28.39,28.56,27.3702,27.38,749000.0,1.8926666667,1.904,1.82468,1.8253333333,11235000,0.0,1.0
27.42,28.52,27.25,28.52,1016400.0,1.828,1.9013333333,1.8166666667,1.9013333333,15246000,0.0,1.0
27.52,27.8,27.45,27.8,577700.0,1.8346666667,1.8533333333,1.83,1.8533333333,8665500,0.0,1.0
27.38,27.8,27.02,27.53,477400.0,1.8253333333,1.8533333333,1.8013333333,1.8353333333,7161000,0.0,1.0
28.1314,28.35,27.37,27.7,775200.0,1.8754266667,1.89,1.8246666667,1.8466666667,11628000,0.0,1.0
29.2454,29.49,28.2,28.25,1024100.0,1.9496933333,1.966,1.88,1.8833333333,15361500,0.0,1.0
28.9182,29.55,28.55,29.27,1030300.0,1.92788,1.97,1.9033333333,1.9513333333,15454500,0.0,1.0
31.5,31.58,29.33,29.8,2048900.0,2.1,2.1053333333,1.9553333333,1.9866666667,30733500,0.0,1.0
31.15,31.2,29.95,30.61,2324000.0,2.0766666667,2.08,1.9966666667,2.0406666667,34860000,0.0,1.0
31.54,32.05,30.81,31.0,1714500.0,2.1026666667,2.1366666667,2.054,2.0666666667,25717500,0.0,1.0
